aa00,en,Medical School,This is an official account for a Medical School,es,Escuela De Medicina,Esta es una cuenta oficial de una Escuela de Medicina,pt,Escola De Medicina,Esta é uma conta oficial de uma Escola de Medicina,inform,FALSE,warn
oc04,en,Glaucoma,This user works in the field of Ophthalmology with a focus on the management of Glaucoma. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Glaucoma,"Este usuario trabaja en el campo de la oftalmología, con especialización en el manejo del glaucoma. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.",pt,Glaucoma,"Este usuário atua na área de Oftalmologia, com foco no tratamento de Glaucoma. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.",inform,FALSE,warn
oc05,en,Neuro-Ophthalmology,This user works in the field of Neuro-Ophthalmology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neurooftalmología,Este usuario trabaja en el campo de la neurooftalmología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Neuro-Oftalmologia,Este usuário atua na área de Neuro-Oftalmologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc06,en,Ocular Immunology,This user works in the field of Ocular Immunology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Inmunología Ocular,Este usuario trabaja en el campo de la inmunología ocular. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Imunologia Ocular,Este usuário trabalha na área de Imunologia Ocular. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc07,en,Ocular Oncology,This user works in the field of Ocular Oncology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oncología Ocular,Este usuario trabaja en el campo de la oncología ocular. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oncologia Ocular,Este usuário atua na área de Oncologia Ocular. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc08,en,Oculoplastic Surgery,This user works in the field of Ophthalmic Plastic & Reconstructive Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Oculoplástica,Este usuario trabaja en el campo de la Cirugía Plástica y Reconstructiva Oftálmica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Plástica Ocular,Este usuário atua na área de Cirurgia Plástica e Reconstrutiva Oftálmica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc09,en,Pediatric Ophthalmology,This user works in the field of Peds Ophthalmology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oftalmología Pediátrica,Este usuario trabaja en el campo de la oftalmología pediátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oftalmologia Pediátrica,Este usuário atua na área de Oftalmologia Pediátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc10,en,Strabismus Care,This user works in the field of Strabismus Care. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cuidado Del Estrabismo,Este usuario trabaja en el campo del cuidado del estrabismo. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cuidados Com Estrabismo,Este usuário trabalha na área de Tratamento de Estrabismo. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
oc11,en,Retinal Ophthalmology,This user works in the field of Retinal Ophthalmology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oftalmología De La Retina,Este usuario trabaja en el campo de la oftalmología retiniana. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oftalmologia Da Retina,Este usuário atua na área de Oftalmologia da Retina. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc12,en,Uveitis & Ocular Inflammatory Disease,This user works in the field of Uveitis & Ocular Inflammatory Disease. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Uveítis Y Enfermedad Inflamatoria Ocular,Este usuario trabaja en el campo de la uveítis y la enfermedad inflamatoria ocular. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Uveíte E Doença Inflamatória Ocular,Este usuário atua na área de Uveíte e Doenças Inflamatórias Oculares. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc13,en,Vitreo-Retinal Surgery,This user works in the field of Vitreo-Retinal Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Vítreo-Retiniana,Este usuario trabaja en el campo de la cirugía vítreo-retiniana. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Vítreo-Retiniana,Este usuário atua na área de Cirurgia Vítreo-Retiniana. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
oc14,en,Optometry,This user works in the field of Optometry. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Optometría,Este usuario trabaja en el campo de la optometría. Esta etiqueta es solo para fines de red y no constituye una verificación de credenciales ni licencia.,pt,Optometria,Este usuário trabalha na área de Optometria. Esta identificação serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
og00,en,Obstetrics & Gynecology,This user works in the field of Obstetrics & Gynecology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Obstetricia Y Ginecología,Este usuario trabaja en el campo de la obstetricia y la ginecología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Obstetrícia E Ginecologia,Este usuário atua na área de Obstetrícia e Ginecologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og01,en,Cardio Obstetrics,This user works in the field of Obstetrics & Cardiology Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Obstetricia Cardiovascular,Este usuario trabaja en el campo de la Obstetricia y la Cardiología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cardio Obstetrícia,Este usuário atua na área de Obstetrícia e Cardiologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og02,en,Complex Family Planning,This user works in the field of Complex Family Planning. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Planificación Familiar Compleja,Este usuario trabaja en el campo de la Planificación Familiar Compleja. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Planejamento Familiar Complexo,Este usuário trabalha na área de Planejamento Familiar Complexo. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og03,en,Critical Care Obstetrics,This user works in the field of Critical Care Obstetrics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Obstetricia De Cuidados Críticos,Este usuario trabaja en el campo de la obstetricia en cuidados críticos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Obstetrícia De Cuidados Críticos,Este usuário trabalha na área de Obstetrícia de Cuidados Intensivos. Esta identificação serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
og04,en,Gynecologic Oncology,This user works in the field of Gynecologic Oncology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Oncología Ginecológica,Este usuario trabaja en el campo de la oncología ginecológica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Oncologia Ginecológica,Este usuário atua na área de Oncologia Ginecológica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og05,en,Labor & Delivery,This user works in the field of Labor & Delivery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Trabajo De Parto Y Parto,Este usuario trabaja en el área de Trabajo de Parto y Parto. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Trabalho De Parto E Parto,Este usuário trabalha na área de Trabalho de Parto e Parto. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og06,en,Maternal & Fetal Medicine,This user works in the field of Maternal-Fetal Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Materno-Fetal,Este usuario trabaja en el campo de la medicina maternofetal. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Medicina Materna E Fetal,Este usuário atua na área de Medicina Materno-Fetal. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og07,en,Menopausal & Geriatric Gynecology,This user works in the field of Menopausal & Geriatric Gynecology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Ginecología Menopáusica Y Geriátrica,Este usuario trabaja en el campo de la ginecología menopáusica y geriátrica. Esta etiqueta solo tiene fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Ginecologia Menopausa E Geriátrica,Este usuário atua na área de Ginecologia Menopausa e Geriátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og08,en,Minimally Invasive Gynecologic Surgery,This user works in the field of Minimally Invasive Gynecologic Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Ginecológica Mínimamente Invasiva,Este usuario trabaja en el campo de la cirugía ginecológica mínimamente invasiva. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Ginecológica Minimamente Invasiva,Este usuário atua na área de Cirurgia Ginecológica Minimamente Invasiva. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og09,en,Pediatric & Adolescent Gynecology,This user works in the field of Pediatric & Adolescent Gynecology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Ginecología Pediátrica Y Adolescente,Este usuario trabaja en el campo de la ginecología pediátrica y adolescente. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Ginecologia Pediátrica E Adolescente,Este usuário atua na área de Ginecologia Pediátrica e Adolescente. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og10,en,Reconstructive Pelvic Surgery,This user works in the field of Reconstructive Pelvic Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Reconstructiva Pélvica,Este usuario trabaja en el campo de la Cirugía Pélvica Reconstructiva. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Pélvica Reconstrutiva,Este usuário atua na área de Cirurgia Pélvica Reconstrutiva. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og11,en,Reproductive Endocrinology & Infertility,This user works in the field of Reproductive Endocrinology & Infertility. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Endocrinología Reproductiva E Infertilidad,Este usuario trabaja en el campo de la endocrinología reproductiva y la infertilidad. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Endocrinologia Reprodutiva E Infertilidade,Este usuário atua na área de Endocrinologia Reprodutiva e Infertilidade. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
og12,en,Urogynecology,This user works in the field of Urogynecology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Uroginecología,Este usuario trabaja en el campo de la uroginecología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Uroginecologia,Este usuário atua na área de Uroginecologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or00,en,Orthopedic Surgery,This user works in the field of Orthopedic Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Ortopédica,Este usuario trabaja en el campo de la cirugía ortopédica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Ortopédica,Este usuário atua na área de Cirurgia Ortopédica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or01,en,Adult Reconstructive Orthopedics,This user works in the field of Adult Reconstructive Orthopedics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Ortopedia Reconstructiva Para Adultos,Este usuario trabaja en el campo de la ortopedia reconstructiva para adultos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Ortopedia Reconstrutiva Para Adultos,Este usuário atua na área de Ortopedia Reconstrutiva para Adultos. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or02,en,Foot & Ankle Surgery,This user works in the field of Foot & Ankle Orthopedics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía De Pie Y Tobillo,Este usuario trabaja en el campo de la ortopedia de pie y tobillo. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia De Pé E Tornozelo,Este usuário atua na área de Ortopedia do Pé e Tornozelo. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or03,en,Hand Surgery,This user works in the field of Hand Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía De La Mano,Este usuario trabaja en el campo de la cirugía de mano. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Da Mão,Este usuário atua na área de Cirurgia da Mão. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or04,en,Orthopedic Spine,This user works in the field of Orthopedic Surgery of the Spine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Columna Ortopédica,Este usuario trabaja en el campo de la cirugía ortopédica de columna. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Coluna Ortopédica,Este usuário atua na área de Cirurgia Ortopédica da Coluna. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or05,en,Orthopedic Sports Medicine,This user works in the field of Orthopedic Sports Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina Deportiva Ortopédica,Este usuario trabaja en el campo de la Medicina Deportiva Ortopédica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Esportiva Ortopédica,Este usuário atua na área de Medicina Esportiva Ortopédica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or06,en,Orthopedic Trauma,This user works in the field of Orthopedic Trauma. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Trauma Ortopédico,Este usuario trabaja en el campo de la traumatología ortopédica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Trauma Ortopédico,Este usuário atua na área de Trauma Ortopédico. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
or07,en,Pediatric Orthopedic Surgery,This user works in the field of Pediatric Orthopedics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Ortopédica Pediátrica,Este usuario trabaja en el campo de la ortopedia pediátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Ortopédica Pediátrica,Este usuário atua na área de Ortopedia Pediátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot00,en,Otolaryngology,This user works in the field of Otolaryngology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Otorrinolaringología,Este usuario trabaja en el campo de la otorrinolaringología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Otorrinolaringologia,Este usuário atua na área de Otorrinolaringologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot01,en,Facial Plastic Surgery,This user works in the field of Facial Plastic Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Plástica Facial,Este usuario trabaja en el campo de la cirugía plástica facial. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Plástica Facial,Este usuário atua na área de Cirurgia Plástica Facial. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot02,en,Head & Neck Plastic Surgery,This user works in the field of Head & Neck Plastic Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Plástica De Cabeza Y Cuello,Este usuario trabaja en el campo de la cirugía plástica de cabeza y cuello. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Plástica De Cabeça E Pescoço,Este usuário atua na área de Cirurgia Plástica de Cabeça e Pescoço. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot03,en,Otolaryngic Allergy,This user works in the field of Otolaryngic Allergy. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Alergia Otorrinolaringológica,Este usuario trabaja en el campo de la alergia otorrinolaringológica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Alergia Otorrinolaringológica,Este usuário atua na área de Alergia Otorrinolaringológica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot04,en,Otology & Neurotology,This user works in the field of Neurotology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Otología Y Neurotología,Este usuario trabaja en el campo de la neurotología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Otologia E Neurotologia,Este usuário atua na área de Otoneurologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot05,en,Pediatric Otolaryngology,This user works in the field of Pediatric Otolaryngology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Otorrinolaringología Pediátrica,Este usuario trabaja en el campo de la otorrinolaringología pediátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Otorrinolaringologia Pediátrica,Este usuário atua na área de Otorrinolaringologia Pediátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
ot06,en,Oral & Maxillofacial Surgery,This user works in the field of Oral & Maxillofacial Surgery. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Cirugía Oral Y Maxilofacial,Este usuario trabaja en el campo de la cirugía oral y maxilofacial. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Cirurgia Oral E Maxilofacial,Este usuário atua na área de Cirurgia Bucomaxilofacial. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa00,en,Pathology,This user works in the field of Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología,Este usuario trabaja en el campo de la patología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Patologia,Este usuário trabalha na área de Patologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa01,en,Anatomic Pathology,This user works in the field of Anatomic Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Anatómica,Este usuario trabaja en el campo de la Anatomía Patológica. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Patologia Anatômica,Este usuário atua na área de Patologia Anatômica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa02,en,Blood Banking,This user works in the field of Blood Banking. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Bancos De Sangre,Este usuario trabaja en el sector de bancos de sangre. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Banco De Sangue,Este usuário trabalha na área de Bancos de Sangue. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa03,en,Chemical Pathology,This user works in the field of Chemical Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Química,Este usuario trabaja en el campo de la patología química. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Patologia Química,Este usuário trabalha na área de Patologia Química. Esta etiqueta serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa04,en,Clinical Informatics,This user works in the field of Clinical Informatics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Informática Clínica,Este usuario trabaja en el campo de la informática clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Informática Clínica,Este usuário trabalha na área de Informática Clínica. Esta identificação serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
pa05,en,Clinical Pathology,This user works in the field of Clinical Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Clínica,Este usuario trabaja en el campo de la patología clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Patologia Clínica,Este usuário atua na área de Patologia Clínica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa06,en,Clinical Research,This user works in the field of Clinical Research. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Investigación Clínica,Este usuario trabaja en el campo de la investigación clínica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Pesquisa Clínica,Este usuário atua na área de Pesquisa Clínica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa07,en,Clinical Trials,This user works in the field of Clinical Trials. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Ensayos Clínicos,Este usuario trabaja en el campo de los ensayos clínicos. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Ensaios Clínicos,Este usuário trabalha na área de Ensaios Clínicos. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
pa08,en,Cytopathology,This user works in the field of Cytopathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Citopatología,Este usuario trabaja en el campo de la citopatología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Citopatologia,Este usuário trabalha na área de Citopatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa09,en,Dermatopathology,This user works in the field of Dermatopathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Dermatopatología,Este usuario trabaja en el campo de la Dermatopatología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Dermatopatologia,Este usuário atua na área de Dermatopatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa10,en,Forensic Pathology,This user works in the field of Forensic Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Forense,Este usuario trabaja en el campo de la patología forense. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Patologia Forense,Este usuário trabalha na área de Patologia Forense. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa11,en,Hematopathology,This user works in the field of Hematopathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Hematopatología,Este usuario trabaja en el campo de la hematopatología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Hematopatologia,Este usuário atua na área de Hematopatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa12,en,Immunopathology,This user works in the field of Immunopathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Inmunopatología,Este usuario trabaja en el campo de la inmunopatología. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Imunopatologia,Este usuário atua na área de Imunopatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa13,en,Laboratory Medicine,This user works in the field of Laboratory Medicine. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Medicina De Laboratorio,Este usuario trabaja en el campo de la medicina de laboratorio. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Medicina Laboratorial,Este usuário atua na área de Medicina Laboratorial. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa14,en,Medical Microbiology,This user works in the field of Medical Microbiology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Microbiología Médica,Este usuario trabaja en el campo de la microbiología médica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Microbiologia Médica,Este usuário trabalha na área de Microbiologia Médica. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
pa15,en,Molecular Genetic Pathology,This user works in the field of Molecular Genetic Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Genética Molecular,Este usuario trabaja en el campo de la patología genética molecular. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Patologia Genética Molecular,Este usuário atua na área de Patologia Genética Molecular. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa16,en,Neuropathology,This user works in the field of Neuropathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Neuropatología,Este usuario trabaja en el campo de la neuropatología. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Neuropatologia,Este usuário atua na área de Neuropatologia. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa17,en,Ophthalmic Pathology,This user works in the field of Ophthalmic Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Oftálmica,Este usuario trabaja en el campo de la patología oftalmológica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Patologia Oftálmica,Este usuário atua na área de Patologia Oftálmica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa18,en,Pediatric Pathology,This user works in the field of Pediatric Pathology. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Patología Pediátrica,Este usuario trabaja en el campo de la patología pediátrica. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencia.,pt,Patologia Pediátrica,Este usuário atua na área de Patologia Pediátrica. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
pa19,en,Research & Development,This user works in the field of Clinical Research & Development. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Investigación Y Desarrollo,Este usuario trabaja en el campo de la Investigación y el Desarrollo Clínico. Esta etiqueta solo se utiliza para establecer contactos y no constituye una verificación de credenciales ni licencias.,pt,Pesquisa E Desenvolvimento,Este usuário trabalha na área de Pesquisa e Desenvolvimento Clínico. Esta etiqueta serve apenas para fins de networking e não constitui uma verificação de credenciais ou licença.,inform,FALSE,warn
pe00,en,Pediatrics,This user works in the field of Pediatrics. This label is only for networking purposes and is not a verification of credentials or licensure.,es,Pediatría,Este usuario trabaja en el campo de la pediatría. Esta etiqueta es solo para fines de networking y no constituye una verificación de credenciales ni licencia.,pt,Pediatria,Este usuário atua na área de Pediatria. Esta identificação serve apenas para fins de networking e não constitui verificação de credenciais ou licença.,inform,FALSE,warn
